,stoptime_,end_station_id_,n2_,b2_,bikeid_,tripduration,starttime,stoptime,start_station_id,n1,b1,end_station_id,n2,b2,birth_year,gender,bikeid,usertype,starttime_time,over_45,day_start,id_x,docks_x,id_y,docks_y,time_lapsed,same_station
39666,2014-12-03 11:48:09,497.0,Gramercy,Manhattan,21415.0,611,2014-12-03 15:55:46,2014-12-03 16:05:57,497,Gramercy,Manhattan,433,East Village,Manhattan,1953.0,1,21415,Subscriber,955,0,Wednesday,497,59,433,39,0 days 04:07:37.000000000,True
55908,2014-12-03 16:05:57,433.0,East Village,Manhattan,21415.0,1197,2014-12-04 12:50:00,2014-12-04 13:09:57,340,Lower East Side,Manhattan,116,Chelsea,Manhattan,1953.0,2,21415,Subscriber,770,0,Thursday,340,27,116,39,0 days 20:44:03.000000000,False
83615,2014-12-04 13:09:57,116.0,Chelsea,Manhattan,21415.0,413,2014-12-05 20:27:52,2014-12-05 20:34:45,116,Chelsea,Manhattan,494,Chelsea,Manhattan,1988.0,1,21415,Subscriber,1227,0,Friday,116,39,494,35,1 days 07:17:55.000000000,True
87527,2014-12-05 20:34:45,494.0,Chelsea,Manhattan,21415.0,409,2014-12-06 18:17:26,2014-12-06 18:24:15,494,Chelsea,Manhattan,505,Chelsea,Manhattan,1967.0,1,21415,Subscriber,1097,0,Saturday,494,35,505,36,0 days 21:42:41.000000000,True
87579,2014-12-06 18:24:15,505.0,Chelsea,Manhattan,21415.0,456,2014-12-06 18:31:23,2014-12-06 18:38:59,505,Chelsea,Manhattan,494,Chelsea,Manhattan,1967.0,1,21415,Subscriber,1111,0,Saturday,505,36,494,35,0 days 00:07:08.000000000,True
93228,2014-12-06 18:38:59,494.0,Chelsea,Manhattan,21415.0,247,2014-12-07 14:36:37,2014-12-07 14:40:44,442,Chelsea,Manhattan,521,Chelsea,Manhattan,1995.0,1,21415,Subscriber,876,0,Sunday,442,51,521,67,0 days 19:57:38.000000000,False
99837,2014-12-07 14:40:44,521.0,Chelsea,Manhattan,21415.0,554,2014-12-08 07:39:07,2014-12-08 07:48:21,346,West Village,Manhattan,328,Tribeca,Manhattan,1985.0,2,21415,Subscriber,459,0,Monday,346,27,328,23,0 days 16:58:23.000000000,False
100724,2014-12-08 07:48:21,328.0,Tribeca,Manhattan,21415.0,610,2014-12-08 08:19:23,2014-12-08 08:29:33,328,Tribeca,Manhattan,311,Lower East Side,Manhattan,1985.0,2,21415,Subscriber,499,0,Monday,328,23,311,13,0 days 00:31:02.000000000,True
102050,2014-12-08 08:29:33,311.0,Lower East Side,Manhattan,21415.0,246,2014-12-08 09:05:53,2014-12-08 09:09:59,311,Lower East Side,Manhattan,531,Lower East Side,Manhattan,1974.0,2,21415,Subscriber,545,0,Monday,311,13,531,39,0 days 00:36:20.000000000,True
102586,2014-12-08 09:09:59,531.0,Lower East Side,Manhattan,21415.0,85,2014-12-08 09:29:34,2014-12-08 09:30:59,531,Lower East Side,Manhattan,531,Lower East Side,Manhattan,1971.0,1,21415,Subscriber,569,0,Monday,531,39,531,39,0 days 00:19:35.000000000,True
102940,2014-12-08 09:30:59,531.0,Lower East Side,Manhattan,21415.0,650,2014-12-08 09:49:19,2014-12-08 10:00:09,531,Lower East Side,Manhattan,146,Tribeca,Manhattan,1991.0,1,21415,Subscriber,589,0,Monday,531,39,146,39,0 days 00:18:20.000000000,True
103418,2014-12-08 10:00:09,146.0,Tribeca,Manhattan,21415.0,167,2014-12-08 10:31:29,2014-12-08 10:34:16,146,Tribeca,Manhattan,248,Tribeca,Manhattan,1975.0,1,21415,Subscriber,631,0,Monday,146,39,248,23,0 days 00:31:20.000000000,True
109820,2014-12-08 10:34:16,248.0,Tribeca,Manhattan,21415.0,1209,2014-12-08 18:11:42,2014-12-08 18:31:51,248,Tribeca,Manhattan,511,Stuyvesant Town,Manhattan,1974.0,2,21415,Subscriber,1091,0,Monday,248,23,511,33,0 days 07:37:26.000000000,True
110738,2014-12-08 18:31:51,511.0,Stuyvesant Town,Manhattan,21415.0,419,2014-12-08 18:42:56,2014-12-08 18:49:55,511,Stuyvesant Town,Manhattan,483,East Village,Manhattan,1974.0,1,21415,Subscriber,1122,0,Monday,511,33,483,35,0 days 00:11:05.000000000,True
117216,2014-12-08 18:49:55,483.0,East Village,Manhattan,21415.0,728,2014-12-09 18:21:22,2014-12-09 18:33:30,483,East Village,Manhattan,250,Nolita,Manhattan,1980.0,1,21415,Subscriber,1101,0,Tuesday,483,35,250,40,0 days 23:31:27.000000000,True
118256,2014-12-09 18:33:30,250.0,Nolita,Manhattan,21415.0,306,2014-12-09 19:14:03,2014-12-09 19:19:09,250,Nolita,Manhattan,438,East Village,Manhattan,1956.0,1,21415,Subscriber,1154,0,Tuesday,250,40,438,27,0 days 00:40:33.000000000,True
147763,2014-12-09 19:19:09,438.0,East Village,Manhattan,21415.0,265,2014-12-11 21:13:50,2014-12-11 21:18:15,293,East Village,Manhattan,445,East Village,Manhattan,1990.0,1,21415,Subscriber,1273,0,Thursday,293,55,445,42,2 days 01:54:41.000000000,False
162836,2014-12-11 21:18:15,445.0,East Village,Manhattan,21415.0,371,2014-12-12 18:07:37,2014-12-12 18:13:48,524,Midtown,Manhattan,526,Midtown,Manhattan,1970.0,1,21415,Subscriber,1087,0,Friday,524,7,526,40,0 days 20:49:22.000000000,False
163074,2014-12-12 18:13:48,526.0,Midtown,Manhattan,21415.0,469,2014-12-12 18:15:27,2014-12-12 18:23:16,526,Midtown,Manhattan,448,Hell's Kitchen,Manhattan,1984.0,1,21415,Subscriber,1095,0,Friday,526,40,448,31,0 days 00:01:39.000000000,True
164287,2014-12-12 18:23:16,448.0,Hell's Kitchen,Manhattan,21415.0,765,2014-12-12 19:09:49,2014-12-12 19:22:34,448,Hell's Kitchen,Manhattan,404,West Village,Manhattan,1969.0,2,21415,Subscriber,1149,0,Friday,448,31,404,39,0 days 00:46:33.000000000,True
165815,2014-12-12 19:22:34,404.0,West Village,Manhattan,21415.0,446,2014-12-12 21:10:54,2014-12-12 21:18:20,404,West Village,Manhattan,466,Flatiron District,Manhattan,1969.0,1,21415,Subscriber,1270,0,Friday,404,39,466,35,0 days 01:48:20.000000000,True
165966,2014-12-12 21:18:20,466.0,Flatiron District,Manhattan,21415.0,797,2014-12-12 21:29:45,2014-12-12 21:43:02,466,Flatiron District,Manhattan,379,Chelsea,Manhattan,1984.0,1,21415,Subscriber,1289,0,Friday,466,35,379,42,0 days 00:11:25.000000000,True
166725,2014-12-12 21:43:02,379.0,Chelsea,Manhattan,21415.0,360,2014-12-12 23:47:25,2014-12-12 23:53:25,379,Chelsea,Manhattan,537,Kips Bay,Manhattan,1964.0,1,21415,Subscriber,1427,0,Friday,379,42,537,39,0 days 02:04:23.000000000,True
166834,2014-12-12 23:53:25,537.0,Kips Bay,Manhattan,21415.0,922,2014-12-13 00:10:44,2014-12-13 00:26:06,537,Kips Bay,Manhattan,479,Hell's Kitchen,Manhattan,1972.0,1,21415,Subscriber,10,0,Saturday,537,39,479,31,0 days 00:17:19.000000000,True
167135,2014-12-13 00:26:06,479.0,Hell's Kitchen,Manhattan,21415.0,502,2014-12-13 01:41:52,2014-12-13 01:50:14,479,Hell's Kitchen,Manhattan,318,Midtown,Manhattan,1969.0,1,21415,Subscriber,101,0,Saturday,479,31,318,31,0 days 01:15:46.000000000,True
167426,2014-12-13 01:50:14,318.0,Midtown,Manhattan,21415.0,562,2014-12-13 06:29:50,2014-12-13 06:39:12,318,Midtown,Manhattan,469,Midtown,Manhattan,1969.0,1,21415,Subscriber,389,0,Saturday,318,31,469,57,0 days 04:39:36.000000000,True
168192,2014-12-13 06:39:12,469.0,Midtown,Manhattan,21415.0,286,2014-12-13 09:29:11,2014-12-13 09:33:57,469,Midtown,Manhattan,422,Upper West Side,Manhattan,1982.0,1,21415,Subscriber,569,0,Saturday,469,57,422,51,0 days 02:49:59.000000000,True
169444,2014-12-13 09:33:57,422.0,Upper West Side,Manhattan,21415.0,914,2014-12-13 11:09:23,2014-12-13 11:24:37,422,Upper West Side,Manhattan,509,Chelsea,Manhattan,1975.0,1,21415,Subscriber,669,0,Saturday,422,51,509,34,0 days 01:35:26.000000000,True
169993,2014-12-13 11:24:37,509.0,Chelsea,Manhattan,21415.0,349,2014-12-13 11:44:19,2014-12-13 11:50:08,509,Chelsea,Manhattan,466,Flatiron District,Manhattan,1977.0,2,21415,Subscriber,704,0,Saturday,509,34,466,35,0 days 00:19:42.000000000,True
171698,2014-12-13 11:50:08,466.0,Flatiron District,Manhattan,21415.0,410,2014-12-13 13:20:02,2014-12-13 13:26:52,466,Flatiron District,Manhattan,462,Chelsea,Manhattan,1977.0,2,21415,Subscriber,800,0,Saturday,466,35,462,47,0 days 01:29:54.000000000,True
174284,2014-12-13 13:26:52,462.0,Chelsea,Manhattan,21415.0,457,2014-12-13 15:34:31,2014-12-13 15:42:08,462,Chelsea,Manhattan,490,Chelsea,Manhattan,1972.0,1,21415,Subscriber,934,0,Saturday,462,47,490,59,0 days 02:07:39.000000000,True
174920,2014-12-13 15:42:08,490.0,Chelsea,Manhattan,21415.0,753,2014-12-13 16:11:17,2014-12-13 16:23:50,490,Chelsea,Manhattan,462,Chelsea,Manhattan,1972.0,1,21415,Subscriber,971,0,Saturday,490,59,462,47,0 days 00:29:09.000000000,True
186214,2014-12-13 16:23:50,462.0,Chelsea,Manhattan,21415.0,2569,2014-12-14 15:40:07,2014-12-14 16:22:56,417,Tribeca,Manhattan,513,Hell's Kitchen,Manhattan,1962.0,1,21415,Subscriber,940,0,Sunday,417,47,513,27,0 days 23:16:17.000000000,False
189302,2014-12-14 16:22:56,513.0,Hell's Kitchen,Manhattan,21415.0,293,2014-12-14 19:05:54,2014-12-14 19:10:47,513,Hell's Kitchen,Manhattan,468,Midtown,Manhattan,1984.0,1,21415,Subscriber,1145,0,Sunday,513,27,468,59,0 days 02:42:58.000000000,True
189412,2014-12-14 19:10:47,468.0,Midtown,Manhattan,21415.0,215,2014-12-14 19:17:11,2014-12-14 19:20:46,468,Midtown,Manhattan,499,Upper West Side,Manhattan,,0,21415,Customer,1157,0,Sunday,468,59,499,36,0 days 00:06:24.000000000,True
192907,2014-12-14 19:20:46,499.0,Upper West Side,Manhattan,21415.0,500,2014-12-15 07:50:22,2014-12-15 07:58:42,499,Upper West Side,Manhattan,464,Midtown,Manhattan,1963.0,1,21415,Subscriber,470,0,Monday,499,36,464,59,0 days 12:29:36.000000000,True
195992,2014-12-15 07:58:42,464.0,Midtown,Manhattan,21415.0,224,2014-12-15 09:35:34,2014-12-15 09:39:18,464,Midtown,Manhattan,2022,Upper East Side,Manhattan,1969.0,1,21415,Subscriber,575,0,Monday,464,59,2022,33,0 days 01:36:52.000000000,True
205205,2014-12-15 09:39:18,2022.0,Upper East Side,Manhattan,21415.0,633,2014-12-15 18:08:05,2014-12-15 18:18:38,2021,Hell's Kitchen,Manhattan,318,Midtown,Manhattan,1960.0,1,21415,Subscriber,1088,0,Monday,2021,43,318,31,0 days 08:28:47.000000000,False
205628,2014-12-15 18:18:38,318.0,Midtown,Manhattan,21415.0,1230,2014-12-15 18:19:48,2014-12-15 18:40:18,318,Midtown,Manhattan,295,Chinatown,Manhattan,1988.0,1,21415,Subscriber,1099,0,Monday,318,31,295,24,0 days 00:01:10.000000000,True
207612,2014-12-15 18:40:18,295.0,Chinatown,Manhattan,21415.0,579,2014-12-15 19:29:04,2014-12-15 19:38:43,295,Chinatown,Manhattan,293,East Village,Manhattan,1985.0,1,21415,Subscriber,1169,0,Monday,295,24,293,55,0 days 00:48:46.000000000,True
