the_geom,id,latitude,statuskey,longitude,address,docks,teststatio,service,stationnam,availdocks,availbikes,lastcomm,loc,address2,created_at,updated_at,neighborhood,borough,cartodb_id
0101000020E6100000381D615AC67E52C0E981C450455C4440,150,40.720874,1,-73.980858,E 2 St & Avenue C,31,false,In Service,E 2 St & Avenue C,19,11,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,15
0101000020E6100000ABD759452D7F52C01FEECD8C3C5D4440,236,40.728419,1,-73.98714,St Marks Pl & 2 Ave,36,false,In Service,St Marks Pl & 2 Ave,6,28,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,39
0101000020E6100000E3797175267F52C0EBB61CDF7F5D4440,237,40.730473,1,-73.986724,E 11 St & 2 Ave,39,false,In Service,E 11 St & 2 Ave,1,38,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,40
0101000020E6100000C73D3FA2727E52C05677D564A15C4440,266,40.723684,1,-73.975748,Avenue D & E 8 St,24,false,In Service,Avenue D & E 8 St,21,3,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,65
0101000020E610000069EEA348687F52C061426252055E4440,285,40.734546,1,-73.990741,Broadway & E 14 St,47,false,In Service,Broadway & E 14 St,9,37,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,79
0101000020E610000004E948AA687F52C08AB839C3795D4440,293,40.730287,1,-73.990765,Lafayette St & E 8 St,55,false,In Service,Lafayette St & E 8 St,24,27,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,83
0101000020E6100000D19D7BA45F7F52C030C0AE95335D4440,300,40.728145,1,-73.990214,Shevchenko Pl & E 6 St,55,false,In Service,Shevchenko Pl & E 6 St,19,32,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,89
0101000020E6100000A89E95B7F47E52C045CD00F16F5C4440,301,40.722174,1,-73.983688,E 2 St & Avenue B,37,false,In Service,E 2 St & Avenue B,17,17,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,90
0101000020E6100000EA95E268967E52C0423219D5435C4440,302,40.720828,1,-73.977932,Avenue D & E 3 St,23,false,In Service,Avenue D & E 3 St,13,8,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,91
0101000020E61000006EC61EADD67E52C00CC8705EBD5C4440,317,40.724537,1,-73.981854,E 6 St & Avenue B,27,false,In Service,E 6 St & Avenue B,10,17,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,106
0101000020E6100000BD1D0E36FE7E52C0DF011D3E615D4440,326,40.729538,1,-73.984267,E 11 St & 1 Ave,27,false,In Service,E 11 St & 1 Ave,6,21,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,115
0101000020E610000072D186AD597E52C0FEECE6F1E65C4440,339,40.725806,1,-73.974225,Avenue D & E 12 St,24,false,In Service,Avenue D & E 12 St,11,12,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,126
0101000020E6100000E608B58DB77E52C0E9B4DCBB8A5C4440,393,40.722992,1,-73.979955,E 5 St & Avenue C,31,false,In Service,E 5 St & Avenue C,25,5,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,175
0101000020E61000008BA1A268927E52C04B353583D35C4440,394,40.725213,1,-73.977688,E 9 St & Avenue C,32,false,In Service,E 9 St & Avenue C,20,9,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,176
0101000020E610000008827C8C677F52C0A8A7C578CD5C4440,403,40.725029,1,-73.990697,E 2 St & 2 Ave,31,false,In Service,E 2 St & 2 Ave,17,14,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,185
0101000020E6100000FAA18704827E52C026EACC6D735C4440,411,40.722281,1,-73.976687,E 6 St & Avenue D,23,false,In Service,E 6 St & Avenue D,16,7,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,193
0101000020E6100000ACB496A6387F52C0F8B5C1F3C15C4440,428,40.724677,1,-73.987834,E 3 St & 1 Ave,31,false,In Service,E 3 St & 1 Ave,21,10,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,207
0101000020E61000008BF62488F67E52C0FD63D46FF45C4440,432,40.726218,1,-73.983799,E 7 St & Avenue A,31,false,In Service,E 7 St & Avenue A,24,7,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,210
0101000020E61000007E4E12ADC17E52C0985FF4BD615D4440,433,40.729554,1,-73.980572,E 13 St & Avenue A,39,false,In Service,E 13 St & Avenue A,19,17,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,211
0101000020E61000005FF760DB147F52C0ACB04BFE275D4440,438,40.727791,1,-73.985649,St Marks Pl & 1 Ave,27,false,In Service,St Marks Pl & 1 Ave,4,23,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,216
0101000020E6100000602BE089587F52C0C9BCCD7EF65C4440,439,40.726281,1,-73.98978,E 4 St & 2 Ave,39,false,In Service,E 4 St & 2 Ave,10,28,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,217
0101000020E610000035830990CF7E52C0D519C66E1B5D4440,445,40.727408,1,-73.98142,E 10 St & Avenue A,42,false,In Service,E 10 St & Avenue A,18,23,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,223
0101000020E610000030565D1B4A7F52C02DCAF487B95D4440,483,40.732233,1,-73.9889,E 12 St & 3 Ave,35,false,In Service,E 12 St & 3 Ave,12,20,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,East Village,Manhattan,259
0101000020E61000007E3471E2E07F52C01F861A2E555D4440,161,40.72917,1,-73.998102,LaGuardia Pl & W 3 St,35,false,In Service,LaGuardia Pl & W 3 St,10,23,null,,,2015-07-27 20:11:50.798449+00,2015-07-27 20:11:50.798449+00,Greenwich Village,Manhattan,21
